ダウンロードした時刻：2018/07/25 16:01:48

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1873/3/7,,0,1,,0,1,,0,1
1873/3/8,,0,1,,0,1,,0,1
1873/3/9,,0,1,,0,1,,0,1
1873/3/10,,0,1,,0,1,,0,1
1873/3/11,,0,1,,0,1,,0,1
1873/3/12,,0,1,,0,1,,0,1
1873/3/13,,0,1,,0,1,,0,1
1873/3/14,,0,1,,0,1,,0,1
1873/3/15,,0,1,,0,1,,0,1
1873/3/16,,0,1,,0,1,,0,1
1873/3/17,,0,1,,0,1,,0,1
1873/3/18,,0,1,,0,1,,0,1
1873/3/19,,0,1,,0,1,,0,1
1873/3/20,,0,1,,0,1,,0,1
1873/3/21,,0,1,,0,1,,0,1
1873/3/22,,0,1,,0,1,,0,1
1873/3/23,,0,1,,0,1,,0,1
1873/3/24,,0,1,,0,1,,0,1
1873/3/25,,0,1,,0,1,,0,1
1873/3/26,,0,1,,0,1,,0,1
1873/3/27,,0,1,,0,1,,0,1
1873/3/28,,0,1,,0,1,,0,1
1873/3/29,,0,1,,0,1,,0,1
1873/3/30,,0,1,,0,1,,0,1
1873/3/31,,0,1,,0,1,,0,1
1873/4/1,,0,1,,0,1,,0,1
1873/4/2,,0,1,,0,1,,0,1
1873/4/3,,0,1,,0,1,,0,1
1873/4/4,,0,1,,0,1,,0,1
1873/4/5,,0,1,,0,1,,0,1
1873/4/6,,0,1,,0,1,,0,1
1873/4/7,,0,1,,0,1,,0,1
1873/4/8,,0,1,,0,1,,0,1
1873/4/9,,0,1,,0,1,,0,1
1873/4/10,,0,1,,0,1,,0,1
1873/4/11,,0,1,,0,1,,0,1
1873/4/12,,0,1,,0,1,,0,1
1873/4/13,,0,1,,0,1,,0,1
1873/4/14,,0,1,,0,1,,0,1
1873/4/15,,0,1,,0,1,,0,1
1873/4/16,,0,1,,0,1,,0,1
1873/4/17,,0,1,,0,1,,0,1
1873/4/18,,0,1,,0,1,,0,1
1873/4/19,,0,1,,0,1,,0,1
1873/4/20,,0,1,,0,1,,0,1
1873/4/21,,0,1,,0,1,,0,1
1873/4/22,,0,1,,0,1,,0,1
1873/4/23,,0,1,,0,1,,0,1
1873/4/24,,0,1,,0,1,,0,1
1873/4/25,,0,1,,0,1,,0,1
1873/4/26,,0,1,,0,1,,0,1
1873/4/27,,0,1,,0,1,,0,1
1873/4/28,,0,1,,0,1,,0,1
1873/4/29,,0,1,,0,1,,0,1
1873/4/30,,0,1,,0,1,,0,1
1873/5/1,,0,1,,0,1,,0,1
1873/5/2,,0,1,,0,1,,0,1
1873/5/3,,0,1,,0,1,,0,1
1873/5/4,,0,1,,0,1,,0,1
1873/5/5,,0,1,,0,1,,0,1
1873/5/6,,0,1,,0,1,,0,1
1873/5/7,,0,1,,0,1,,0,1
1873/5/8,,0,1,,0,1,,0,1
1873/5/9,,0,1,,0,1,,0,1
1873/5/10,,0,1,,0,1,,0,1
1873/5/11,,0,1,,0,1,,0,1
1873/5/12,,0,1,,0,1,,0,1
1873/5/13,,0,1,,0,1,,0,1
1873/5/14,,0,1,,0,1,,0,1
1873/5/15,,0,1,,0,1,,0,1
1873/5/16,,0,1,,0,1,,0,1
1873/5/17,,0,1,,0,1,,0,1
1873/5/18,,0,1,,0,1,,0,1
1873/5/19,,0,1,,0,1,,0,1
1873/5/20,,0,1,,0,1,,0,1
1873/5/21,,0,1,,0,1,,0,1
1873/5/22,,0,1,,0,1,,0,1
1873/5/23,,0,1,,0,1,,0,1
1873/5/24,,0,1,,0,1,,0,1
1873/5/25,,0,1,,0,1,,0,1
1873/5/26,,0,1,,0,1,,0,1
1873/5/27,,0,1,,0,1,,0,1
1873/5/28,,0,1,,0,1,,0,1
1873/5/29,,0,1,,0,1,,0,1
1873/5/30,,0,1,,0,1,,0,1
1873/5/31,,0,1,,0,1,,0,1
1873/6/1,,0,1,,0,1,,0,1
1873/6/2,,0,1,,0,1,,0,1
1873/6/3,,0,1,,0,1,,0,1
1873/6/4,,0,1,,0,1,,0,1
1873/6/5,,0,1,,0,1,,0,1
1873/6/6,,0,1,,0,1,,0,1
1873/6/7,,0,1,,0,1,,0,1
1873/6/8,,0,1,,0,1,,0,1
1873/6/9,,0,1,,0,1,,0,1
1873/6/10,,0,1,,0,1,,0,1
1873/6/11,,0,1,,0,1,,0,1
1873/6/12,,0,1,,0,1,,0,1
1873/6/13,,0,1,,0,1,,0,1
1873/6/14,,0,1,,0,1,,0,1
1873/6/15,,0,1,,0,1,,0,1
1873/6/16,,0,1,,0,1,,0,1
1873/6/17,,0,1,,0,1,,0,1
1873/6/18,,0,1,,0,1,,0,1
1873/6/19,,0,1,,0,1,,0,1
1873/6/20,,0,1,,0,1,,0,1
1873/6/21,,0,1,,0,1,,0,1
1873/6/22,,0,1,,0,1,,0,1
1873/6/23,,0,1,,0,1,,0,1
1873/6/24,,0,1,,0,1,,0,1
1873/6/25,,0,1,,0,1,,0,1
1873/6/26,,0,1,,0,1,,0,1
1873/6/27,,0,1,,0,1,,0,1
1873/6/28,,0,1,,0,1,,0,1
1873/6/29,,0,1,,0,1,,0,1
1873/6/30,,0,1,,0,1,,0,1
1873/7/1,,0,1,,0,1,,0,1
1873/7/2,,0,1,,0,1,,0,1
1873/7/3,,0,1,,0,1,,0,1
1873/7/4,,0,1,,0,1,,0,1
1873/7/5,,0,1,,0,1,,0,1
1873/7/6,,0,1,,0,1,,0,1
1873/7/7,,0,1,,0,1,,0,1
1873/7/8,,0,1,,0,1,,0,1
1873/7/9,,0,1,,0,1,,0,1
1873/7/10,,0,1,,0,1,,0,1
1873/7/11,,0,1,,0,1,,0,1
1873/7/12,,0,1,,0,1,,0,1
1873/7/13,,0,1,,0,1,,0,1
1873/7/14,,0,1,,0,1,,0,1
1873/7/15,,0,1,,0,1,,0,1
1873/7/16,,0,1,,0,1,,0,1
1873/7/17,,0,1,,0,1,,0,1
1873/7/18,,0,1,,0,1,,0,1
1873/7/19,,0,1,,0,1,,0,1
1873/7/20,,0,1,,0,1,,0,1
1873/7/21,,0,1,,0,1,,0,1
1873/7/22,,0,1,,0,1,,0,1
1873/7/23,,0,1,,0,1,,0,1
1873/7/24,,0,1,,0,1,,0,1
1873/7/25,,0,1,,0,1,,0,1
1873/7/26,,0,1,,0,1,,0,1
1873/7/27,,0,1,,0,1,,0,1
1873/7/28,,0,1,,0,1,,0,1
1873/7/29,,0,1,,0,1,,0,1
1873/7/30,,0,1,,0,1,,0,1
1873/7/31,,0,1,,0,1,,0,1
1873/8/1,,0,1,,0,1,,0,1
1873/8/2,,0,1,,0,1,,0,1
1873/8/3,,0,1,,0,1,,0,1
1873/8/4,,0,1,,0,1,,0,1
1873/8/5,,0,1,,0,1,,0,1
1873/8/6,,0,1,,0,1,,0,1
1873/8/7,,0,1,,0,1,,0,1
1873/8/8,,0,1,,0,1,,0,1
1873/8/9,,0,1,,0,1,,0,1
1873/8/10,,0,1,,0,1,,0,1
1873/8/11,,0,1,,0,1,,0,1
1873/8/12,,0,1,,0,1,,0,1
1873/8/13,,0,1,,0,1,,0,1
1873/8/14,,0,1,,0,1,,0,1
1873/8/15,,0,1,,0,1,,0,1
1873/8/16,,0,1,,0,1,,0,1
1873/8/17,,0,1,,0,1,,0,1
1873/8/18,,0,1,,0,1,,0,1
1873/8/19,,0,1,,0,1,,0,1
1873/8/20,,0,1,,0,1,,0,1
1873/8/21,,0,1,,0,1,,0,1
1873/8/22,,0,1,,0,1,,0,1
1873/8/23,,0,1,,0,1,,0,1
1873/8/24,,0,1,,0,1,,0,1
1873/8/25,,0,1,,0,1,,0,1
